Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Hendersonville Smiles Dentistry","4.4","233","Dentist","1002 Glenbrook Way #200, Hendersonville, TN 37075, United States","https://www.hendersonvillesmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A854%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_ODQ1ODI2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","+1 615-280-8027","https://www.google.com/maps/place/Hendersonville+Smiles+Dentistry/data=!4m7!3m6!1s0x886446e2a21b05ab:0x96785116f3e7fa3a!8m2!3d36.3339342!4d-86.6187363!16s%2Fg%2F11fzf6hykl!19sChIJqwUbouJGZIgROvrn8xZReJY?authuser=0&hl=en&rclk=1"
"Gallatin Smiles Dentistry","4.5","184","Dentist","923 Nashville Pike STE A, Gallatin, TN 37066, United States","https://www.gallatinsmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A849%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzQ3NzQ5My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","+1 615-241-8022","https://www.google.com/maps/place/Gallatin+Smiles+Dentistry/data=!4m7!3m6!1s0x88643a7083185e43:0xb4a7c99e6cd2c9b6!8m2!3d36.3768295!4d-86.4697469!16s%2Fg%2F11cp7jls51!19sChIJQ14Yg3A6ZIgRtsnSbJ7Jp7Q?authuser=0&hl=en&rclk=1"
"Hermitage Modern Dentistry","4.9","278","Dentist","4730 Lebanon Pike Ste 101, Hermitage, TN 37076, United States","https://www.hermitagemoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A857%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTU1NzEwNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 615-219-5722","https://www.google.com/maps/place/Hermitage+Modern+Dentistry/data=!4m7!3m6!1s0x886441de4cc96267:0xbbebb7611bbffa1d!8m2!3d36.2153376!4d-86.5916585!16s%2Fg%2F11nmt7phr3!19sChIJZ2LJTN5BZIgRHfq_G2G367s?authuser=0&hl=en&rclk=1"
"Smiles Up Dentistry","4.9","355","Dentist","1916 Patterson St Suite 712, Nashville, TN 37203, United States","http://nashvillesmilesup.com/","+1 615-678-8965","https://www.google.com/maps/place/Smiles+Up+Dentistry/data=!4m7!3m6!1s0x886467b0f1c56357:0x2f4b69ac87b478ed!8m2!3d36.1558065!4d-86.8018296!16s%2Fg%2F11k77bgqjf!19sChIJV2PF8bBnZIgR7Xi0h6xpSy8?authuser=0&hl=en&rclk=1"
"East Nashville Family Dentistry","4.5","221","Dentist","1214 Gallatin Ave Suite 115, Nashville, TN 37206, United States","https://enfdentistry.com/","+1 615-610-1680","https://www.google.com/maps/place/East+Nashville+Family+Dentistry/data=!4m7!3m6!1s0x886467202ee860ad:0xe604ffb3e6d875a4!8m2!3d36.1916961!4d-86.7453231!16s%2Fg%2F11hdr97zyd!19sChIJrWDoLiBnZIgRpHXY5rP_BOY?authuser=0&hl=en&rclk=1"
"Smyrna Modern Dentistry","4.1","340","Dentist","160 Movie Row, Smyrna, TN 37167, United States","https://www.smyrnamoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A844%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MjY2MDkzNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","+1 615-930-9606","https://www.google.com/maps/place/Smyrna+Modern+Dentistry/data=!4m7!3m6!1s0x88640cc14f47ba75:0x22adba11883f770e!8m2!3d35.979609!4d-86.56521!16s%2Fg%2F11bw65sgcf!19sChIJdbpHT8EMZIgRDnc_iBG6rSI?authuser=0&hl=en&rclk=1"
"Hendersonville Family Dentistry LLC","4.9","1,931","Dentist","230 New Shackle Island Rd STE 170, Hendersonville, TN 37075, United States","https://www.hendersonvillefamilydentistry.com/","+1 615-822-8262","https://www.google.com/maps/place/Hendersonville+Family+Dentistry+LLC/data=!4m7!3m6!1s0x886446decc4e2521:0x537d08fc2abbf368!8m2!3d36.3191133!4d-86.6235315!16s%2Fg%2F1tls3ksj!19sChIJISVOzN5GZIgRaPO7KvwIfVM?authuser=0&hl=en&rclk=1"
"Family & Cosmetic Dentistry Of Smyrna","4.9","301","Dentist","780 Nissan Dr, Smyrna, TN 37167, United States","https://www.smyrnasmiles.com/","+1 615-355-1062","https://www.google.com/maps/place/Family+%26+Cosmetic+Dentistry+Of+Smyrna/data=!4m7!3m6!1s0x88640e98eef654ab:0xd44bd5825baf4d60!8m2!3d35.9748594!4d-86.4930721!16s%2Fg%2F1tkc2vfl!19sChIJq1T27pgOZIgRYE2vW4LVS9Q?authuser=0&hl=en&rclk=1"
"Mt. Juliet Modern Dentistry","4.8","79","Dentist","600 S Mt Juliet Rd Ste #3, Mt. Juliet, TN 37122, United States","https://www.mtjulietmoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A1033%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzA5ODg2MzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 615-716-1653","https://www.google.com/maps/place/Mt.+Juliet+Modern+Dentistry/data=!4m7!3m6!1s0x886415eccf6419b1:0x820aea0286895dbc!8m2!3d36.1634212!4d-86.5156114!16s%2Fg%2F11t9nr_cy3!19sChIJsRlkz-wVZIgRvF2JhgLqCoI?authuser=0&hl=en&rclk=1"
"West Nashville Smiles Dentistry","4.5","29","Dentist","6700 Charlotte Pike Ste #103, Nashville, TN 37209, United States","https://www.westnashvillesmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A935%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzQ3OTcxODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 615-617-5420","https://www.google.com/maps/place/West+Nashville+Smiles+Dentistry/data=!4m7!3m6!1s0x886461ecee492f29:0xfdce563af3fdea9!8m2!3d36.1369714!4d-86.8839574!16s%2Fg%2F11k9ryvzjk!19sChIJKS9J7uxhZIgRqd4_r2Pl3A8?authuser=0&hl=en&rclk=1"
